code_sous_classe,libelle_sous_classe,code_sous_classe_short,code_classe,libelle_classe,code_classe_short,code_groupe,libelle_groupe,code_groupe_short,code_division,libelle_division,code_section,libelle_section
01.11Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",0111Z,01.11,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",0111,01.1,Cultures non permanentes,011,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.12Z,Culture du riz,0112Z,01.12,Culture du riz,0112,01.1,Cultures non permanentes,011,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.13Z,"Culture de légumes, de melons, de racines et de tubercules",0113Z,01.13,"Culture de légumes, de melons, de racines et de tubercules",0113,01.1,Cultures non permanentes,011,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.14Z,Culture de la canne à sucre,0114Z,01.14,Culture de la canne à sucre,0114,01.1,Cultures non permanentes,011,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.15Z,Culture du tabac,0115Z,01.15,Culture du tabac,0115,01.1,Cultures non permanentes,011,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.16Z,Culture de plantes à fibres,0116Z,01.16,Culture de plantes à fibres,0116,01.1,Cultures non permanentes,011,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.19Z,Autres cultures non permanentes,0119Z,01.19,Autres cultures non permanentes,0119,01.1,Cultures non permanentes,011,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.21Z,Culture de la vigne,0121Z,01.21,Culture de la vigne,0121,01.2,Cultures permanentes,012,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.22Z,Culture de fruits tropicaux et subtropicaux,0122Z,01.22,Culture de fruits tropicaux et subtropicaux,0122,01.2,Cultures permanentes,012,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.23Z,Culture d'agrumes,0123Z,01.23,Culture d'agrumes,0123,01.2,Cultures permanentes,012,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.24Z,Culture de fruits à pépins et à noyau,0124Z,01.24,Culture de fruits à pépins et à noyau,0124,01.2,Cultures permanentes,012,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.25Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,0125Z,01.25,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,0125,01.2,Cultures permanentes,012,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.26Z,Culture de fruits oléagineux,0126Z,01.26,Culture de fruits oléagineux,0126,01.2,Cultures permanentes,012,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.27Z,Culture de plantes à boissons,0127Z,01.27,Culture de plantes à boissons,0127,01.2,Cultures permanentes,012,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.28Z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",0128Z,01.28,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",0128,01.2,Cultures permanentes,012,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.29Z,Autres cultures permanentes,0129Z,01.29,Autres cultures permanentes,0129,01.2,Cultures permanentes,012,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.30Z,Reproduction de plantes,0130Z,01.30,Reproduction de plantes,0130,01.3,Reproduction de plantes,013,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.41Z,Élevage de vaches laitières,0141Z,01.41,Élevage de vaches laitières,0141,01.4,Production animale,014,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.42Z,Élevage d'autres bovins et de buffles,0142Z,01.42,Élevage d'autres bovins et de buffles,0142,01.4,Production animale,014,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.43Z,Élevage de chevaux et d'autres équidés,0143Z,01.43,Élevage de chevaux et d'autres équidés,0143,01.4,Production animale,014,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.44Z,Élevage de chameaux et d'autres camélidés,0144Z,01.44,Élevage de chameaux et d'autres camélidés,0144,01.4,Production animale,014,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.45Z,Élevage d'ovins et de caprins,0145Z,01.45,Élevage d'ovins et de caprins,0145,01.4,Production animale,014,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.46Z,Élevage de porcins,0146Z,01.46,Élevage de porcins,0146,01.4,Production animale,014,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.47Z,Élevage de volailles,0147Z,01.47,Élevage de volailles,0147,01.4,Production animale,014,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.49Z,Élevage d'autres animaux,0149Z,01.49,Élevage d'autres animaux,0149,01.4,Production animale,014,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.50Z,Culture et élevage associés,0150Z,01.50,Culture et élevage associés,0150,01.5,Culture et élevage associés,015,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.61Z,Activités de soutien aux cultures,0161Z,01.61,Activités de soutien aux cultures,0161,01.6,Activités de soutien à l'agriculture et traitement primaire des récoltes,016,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.62Z,Activités de soutien à la production animale,0162Z,01.62,Activités de soutien à la production animale,0162,01.6,Activités de soutien à l'agriculture et traitement primaire des récoltes,016,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.63Z,Traitement primaire des récoltes,0163Z,01.63,Traitement primaire des récoltes,0163,01.6,Activités de soutien à l'agriculture et traitement primaire des récoltes,016,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.64Z,Traitement des semences,0164Z,01.64,Traitement des semences,0164,01.6,Activités de soutien à l'agriculture et traitement primaire des récoltes,016,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
01.70Z,"Chasse, piégeage et services annexes",0170Z,01.70,"Chasse, piégeage et services annexes",0170,01.7,"Chasse, piégeage et services annexes",017,01,"Culture et production animale, chasse et services annexes",A,"Agriculture, sylviculture et pêche"
02.10Z,Sylviculture et autres activités forestières,0210Z,02.10,Sylviculture et autres activités forestières,0210,02.1,Sylviculture et autres activités forestières,021,02,Sylviculture et exploitation forestière,A,"Agriculture, sylviculture et pêche"
02.20Z,Exploitation forestière,0220Z,02.20,Exploitation forestière,0220,02.2,Exploitation forestière,022,02,Sylviculture et exploitation forestière,A,"Agriculture, sylviculture et pêche"
02.30Z,Récolte de produits forestiers non ligneux poussant à l'état sauvage,0230Z,02.30,Récolte de produits forestiers non ligneux poussant à l'état sauvage,0230,02.3,Récolte de produits forestiers non ligneux poussant à l'état sauvage,023,02,Sylviculture et exploitation forestière,A,"Agriculture, sylviculture et pêche"
02.40Z,Services de soutien à l'exploitation forestière,0240Z,02.40,Services de soutien à l'exploitation forestière,0240,02.4,Services de soutien à l'exploitation forestière,024,02,Sylviculture et exploitation forestière,A,"Agriculture, sylviculture et pêche"
03.11Z,Pêche en mer,0311Z,03.11,Pêche en mer,0311,03.1,Pêche,031,03,Pêche et aquaculture,A,"Agriculture, sylviculture et pêche"
03.12Z,Pêche en eau douce,0312Z,03.12,Pêche en eau douce,0312,03.1,Pêche,031,03,Pêche et aquaculture,A,"Agriculture, sylviculture et pêche"
03.21Z,Aquaculture en mer,0321Z,03.21,Aquaculture en mer,0321,03.2,Aquaculture,032,03,Pêche et aquaculture,A,"Agriculture, sylviculture et pêche"
03.22Z,Aquaculture en eau douce,0322Z,03.22,Aquaculture en eau douce,0322,03.2,Aquaculture,032,03,Pêche et aquaculture,A,"Agriculture, sylviculture et pêche"
05.10Z,Extraction de houille,0510Z,05.10,Extraction de houille,0510,05.1,Extraction de houille,051,05,Extraction de houille et de lignite,B,Industries extractives
05.20Z,Extraction de lignite,0520Z,05.20,Extraction de lignite,0520,05.2,Extraction de lignite,052,05,Extraction de houille et de lignite,B,Industries extractives
06.10Z,Extraction de pétrole brut,0610Z,06.10,Extraction de pétrole brut,0610,06.1,Extraction de pétrole brut,061,06,Extraction d'hydrocarbures,B,Industries extractives
06.20Z,Extraction de gaz naturel,0620Z,06.20,Extraction de gaz naturel,0620,06.2,Extraction de gaz naturel,062,06,Extraction d'hydrocarbures,B,Industries extractives
07.10Z,Extraction de minerais de fer,0710Z,07.10,Extraction de minerais de fer,0710,07.1,Extraction de minerais de fer,071,07,Extraction de minerais métalliques,B,Industries extractives
07.21Z,Extraction de minerais d'uranium et de thorium,0721Z,07.21,Extraction de minerais d'uranium et de thorium,0721,07.2,Extraction de minerais de métaux non ferreux,072,07,Extraction de minerais métalliques,B,Industries extractives
07.29Z,Extraction d'autres minerais de métaux non ferreux,0729Z,07.29,Extraction d'autres minerais de métaux non ferreux,0729,07.2,Extraction de minerais de métaux non ferreux,072,07,Extraction de minerais métalliques,B,Industries extractives
08.11Z,"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise",0811Z,08.11,"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise",0811,08.1,"Extraction de pierres, de sables et d'argiles",081,08,Autres industries extractives,B,Industries extractives
08.12Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",0812Z,08.12,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",0812,08.1,"Extraction de pierres, de sables et d'argiles",081,08,Autres industries extractives,B,Industries extractives
08.91Z,Extraction des minéraux chimiques et d'engrais minéraux,0891Z,08.91,Extraction des minéraux chimiques et d'engrais minéraux,0891,08.9,Activités extractives n.c.a.,089,08,Autres industries extractives,B,Industries extractives
08.92Z,Extraction de tourbe,0892Z,08.92,Extraction de tourbe,0892,08.9,Activités extractives n.c.a.,089,08,Autres industries extractives,B,Industries extractives
08.93Z,Production de sel,0893Z,08.93,Production de sel,0893,08.9,Activités extractives n.c.a.,089,08,Autres industries extractives,B,Industries extractives
08.99Z,Autres activités extractives n.c.a.,0899Z,08.99,Autres activités extractives n.c.a.,0899,08.9,Activités extractives n.c.a.,089,08,Autres industries extractives,B,Industries extractives
09.10Z,Activités de soutien à l'extraction d'hydrocarbures,0910Z,09.10,Activités de soutien à l'extraction d'hydrocarbures,0910,09.1,Activités de soutien à l'extraction d'hydrocarbures,091,09,Services de soutien aux industries extractives,B,Industries extractives
09.90Z,Activités de soutien aux autres industries extractives,0990Z,09.90,Activités de soutien aux autres industries extractives,0990,09.9,Activités de soutien aux autres industries extractives,099,09,Services de soutien aux industries extractives,B,Industries extractives
10.11Z,Transformation et conservation de la viande de boucherie,1011Z,10.11,Transformation et conservation de la viande de boucherie,1011,10.1,Transformation et conservation de la viande et préparation de produits à base de viande,101,10,Industries alimentaires,C,Industrie manufacturière
10.12Z,Transformation et conservation de la viande de volaille,1012Z,10.12,Transformation et conservation de la viande de volaille,1012,10.1,Transformation et conservation de la viande et préparation de produits à base de viande,101,10,Industries alimentaires,C,Industrie manufacturière
10.13A,Préparation industrielle de produits à base de viande,1013A,10.13,Préparation de produits à base de viande,1013,10.1,Transformation et conservation de la viande et préparation de produits à base de viande,101,10,Industries alimentaires,C,Industrie manufacturière
10.13B,Charcuterie,1013B,10.13,Préparation de produits à base de viande,1013,10.1,Transformation et conservation de la viande et préparation de produits à base de viande,101,10,Industries alimentaires,C,Industrie manufacturière
10.20Z,"Transformation et conservation de poisson, de crustacés et de mollusques",1020Z,10.20,"Transformation et conservation de poisson, de crustacés et de mollusques",1020,10.2,"Transformation et conservation de poisson, de crustacés et de mollusques",102,10,Industries alimentaires,C,Industrie manufacturière
10.31Z,Transformation et conservation de pommes de terre,1031Z,10.31,Transformation et conservation de pommes de terre,1031,10.3,Transformation et conservation de fruits et légumes,103,10,Industries alimentaires,C,Industrie manufacturière
10.32Z,Préparation de jus de fruits et légumes,1032Z,10.32,Préparation de jus de fruits et légumes,1032,10.3,Transformation et conservation de fruits et légumes,103,10,Industries alimentaires,C,Industrie manufacturière
10.39A,Autre transformation et conservation de légumes,1039A,10.39,Autre transformation et conservation de fruits et légumes,1039,10.3,Transformation et conservation de fruits et légumes,103,10,Industries alimentaires,C,Industrie manufacturière
10.39B,Transformation et conservation de fruits,1039B,10.39,Autre transformation et conservation de fruits et légumes,1039,10.3,Transformation et conservation de fruits et légumes,103,10,Industries alimentaires,C,Industrie manufacturière
10.41A,Fabrication d'huiles et graisses brutes,1041A,10.41,Fabrication d'huiles et graisses,1041,10.4,Fabrication d'huiles et graisses végétales et animales,104,10,Industries alimentaires,C,Industrie manufacturière
10.41B,Fabrication d'huiles et graisses raffinées,1041B,10.41,Fabrication d'huiles et graisses,1041,10.4,Fabrication d'huiles et graisses végétales et animales,104,10,Industries alimentaires,C,Industrie manufacturière
10.42Z,Fabrication de margarine et graisses comestibles similaires,1042Z,10.42,Fabrication de margarine et graisses comestibles similaires,1042,10.4,Fabrication d'huiles et graisses végétales et animales,104,10,Industries alimentaires,C,Industrie manufacturière
10.51A,Fabrication de lait liquide et de produits frais,1051A,10.51,Exploitation de laiteries et fabrication de fromage,1051,10.5,Fabrication de produits laitiers,105,10,Industries alimentaires,C,Industrie manufacturière
10.51B,Fabrication de beurre,1051B,10.51,Exploitation de laiteries et fabrication de fromage,1051,10.5,Fabrication de produits laitiers,105,10,Industries alimentaires,C,Industrie manufacturière
10.51C,Fabrication de fromage,1051C,10.51,Exploitation de laiteries et fabrication de fromage,1051,10.5,Fabrication de produits laitiers,105,10,Industries alimentaires,C,Industrie manufacturière
10.51D,Fabrication d'autres produits laitiers,1051D,10.51,Exploitation de laiteries et fabrication de fromage,1051,10.5,Fabrication de produits laitiers,105,10,Industries alimentaires,C,Industrie manufacturière
10.52Z,Fabrication de glaces et sorbets,1052Z,10.52,Fabrication de glaces et sorbets,1052,10.5,Fabrication de produits laitiers,105,10,Industries alimentaires,C,Industrie manufacturière
10.61A,Meunerie,1061A,10.61,Travail des grains,1061,10.6,Travail des grains ; fabrication de produits amylacés,106,10,Industries alimentaires,C,Industrie manufacturière
10.61B,Autres activités du travail des grains,1061B,10.61,Travail des grains,1061,10.6,Travail des grains ; fabrication de produits amylacés,106,10,Industries alimentaires,C,Industrie manufacturière
10.62Z,Fabrication de produits amylacés,1062Z,10.62,Fabrication de produits amylacés,1062,10.6,Travail des grains ; fabrication de produits amylacés,106,10,Industries alimentaires,C,Industrie manufacturière
10.71A,Fabrication industrielle de pain et de pâtisserie fraîche,1071A,10.71,Fabrication de pain et de pâtisserie fraîche,1071,10.7,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires,107,10,Industries alimentaires,C,Industrie manufacturière
10.71B,Cuisson de produits de boulangerie,1071B,10.71,Fabrication de pain et de pâtisserie fraîche,1071,10.7,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires,107,10,Industries alimentaires,C,Industrie manufacturière
10.71C,Boulangerie et boulangerie-pâtisserie,1071C,10.71,Fabrication de pain et de pâtisserie fraîche,1071,10.7,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires,107,10,Industries alimentaires,C,Industrie manufacturière
10.71D,Pâtisserie,1071D,10.71,Fabrication de pain et de pâtisserie fraîche,1071,10.7,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires,107,10,Industries alimentaires,C,Industrie manufacturière
10.72Z,"Fabrication de biscuits, biscottes et pâtisseries de conservation",1072Z,10.72,"Fabrication de biscuits, biscottes et pâtisseries de conservation",1072,10.7,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires,107,10,Industries alimentaires,C,Industrie manufacturière
10.73Z,Fabrication de pâtes alimentaires,1073Z,10.73,Fabrication de pâtes alimentaires,1073,10.7,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires,107,10,Industries alimentaires,C,Industrie manufacturière
10.81Z,Fabrication de sucre,1081Z,10.81,Fabrication de sucre,1081,10.8,Fabrication d'autres produits alimentaires,108,10,Industries alimentaires,C,Industrie manufacturière
10.82Z,"Fabrication de cacao, chocolat et de produits de confiserie",1082Z,10.82,"Fabrication de cacao, chocolat et de produits de confiserie",1082,10.8,Fabrication d'autres produits alimentaires,108,10,Industries alimentaires,C,Industrie manufacturière
10.83Z,Transformation du thé et du café,1083Z,10.83,Transformation du thé et du café,1083,10.8,Fabrication d'autres produits alimentaires,108,10,Industries alimentaires,C,Industrie manufacturière
10.84Z,Fabrication de condiments et assaisonnements,1084Z,10.84,Fabrication de condiments et assaisonnements,1084,10.8,Fabrication d'autres produits alimentaires,108,10,Industries alimentaires,C,Industrie manufacturière
10.85Z,Fabrication de plats préparés,1085Z,10.85,Fabrication de plats préparés,1085,10.8,Fabrication d'autres produits alimentaires,108,10,Industries alimentaires,C,Industrie manufacturière
10.86Z,Fabrication d'aliments homogénéisés et diététiques,1086Z,10.86,Fabrication d'aliments homogénéisés et diététiques,1086,10.8,Fabrication d'autres produits alimentaires,108,10,Industries alimentaires,C,Industrie manufacturière
10.89Z,Fabrication d'autres produits alimentaires n.c.a.,1089Z,10.89,Fabrication d'autres produits alimentaires n.c.a.,1089,10.8,Fabrication d'autres produits alimentaires,108,10,Industries alimentaires,C,Industrie manufacturière
10.91Z,Fabrication d'aliments pour animaux de ferme,1091Z,10.91,Fabrication d'aliments pour animaux de ferme,1091,10.9,Fabrication d'aliments pour animaux,109,10,Industries alimentaires,C,Industrie manufacturière
10.92Z,Fabrication d'aliments pour animaux de compagnie,1092Z,10.92,Fabrication d'aliments pour animaux de compagnie,1092,10.9,Fabrication d'aliments pour animaux,109,10,Industries alimentaires,C,Industrie manufacturière
11.01Z,Production de boissons alcooliques distillées,1101Z,11.01,Production de boissons alcooliques distillées,1101,11.0,Fabrication de boissons,110,11,Fabrication de boissons,C,Industrie manufacturière
11.02A,Fabrication de vins effervescents,1102A,11.02,Production de vin (de raisin),1102,11.0,Fabrication de boissons,110,11,Fabrication de boissons,C,Industrie manufacturière
11.02B,Vinification,1102B,11.02,Production de vin (de raisin),1102,11.0,Fabrication de boissons,110,11,Fabrication de boissons,C,Industrie manufacturière
11.03Z,Fabrication de cidre et de vins de fruits,1103Z,11.03,Fabrication de cidre et de vins de fruits,1103,11.0,Fabrication de boissons,110,11,Fabrication de boissons,C,Industrie manufacturière
11.04Z,Production d'autres boissons fermentées non distillées,1104Z,11.04,Production d'autres boissons fermentées non distillées,1104,11.0,Fabrication de boissons,110,11,Fabrication de boissons,C,Industrie manufacturière
11.05Z,Fabrication de bière,1105Z,11.05,Fabrication de bière,1105,11.0,Fabrication de boissons,110,11,Fabrication de boissons,C,Industrie manufacturière
11.06Z,Fabrication de malt,1106Z,11.06,Fabrication de malt,1106,11.0,Fabrication de boissons,110,11,Fabrication de boissons,C,Industrie manufacturière
11.07A,Industrie des eaux de table,1107A,11.07,Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes,1107,11.0,Fabrication de boissons,110,11,Fabrication de boissons,C,Industrie manufacturière
11.07B,Production de boissons rafraîchissantes,1107B,11.07,Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes,1107,11.0,Fabrication de boissons,110,11,Fabrication de boissons,C,Industrie manufacturière
12.00Z,Fabrication de produits à base de tabac,1200Z,12.00,Fabrication de produits à base de tabac,1200,12.0,Fabrication de produits à base de tabac,120,12,Fabrication de produits à base de tabac,C,Industrie manufacturière
13.10Z,Préparation de fibres textiles et filature,1310Z,13.10,Préparation de fibres textiles et filature,1310,13.1,Préparation de fibres textiles et filature,131,13,Fabrication de textiles,C,Industrie manufacturière
13.20Z,Tissage,1320Z,13.20,Tissage,1320,13.2,Tissage,132,13,Fabrication de textiles,C,Industrie manufacturière
13.30Z,Ennoblissement textile,1330Z,13.30,Ennoblissement textile,1330,13.3,Ennoblissement textile,133,13,Fabrication de textiles,C,Industrie manufacturière
13.91Z,Fabrication d'étoffes à mailles,1391Z,13.91,Fabrication d'étoffes à mailles,1391,13.9,Fabrication d'autres textiles,139,13,Fabrication de textiles,C,Industrie manufacturière
13.92Z,"Fabrication d'articles textiles, sauf habillement",1392Z,13.92,"Fabrication d'articles textiles, sauf habillement",1392,13.9,Fabrication d'autres textiles,139,13,Fabrication de textiles,C,Industrie manufacturière
13.93Z,Fabrication de tapis et moquettes,1393Z,13.93,Fabrication de tapis et moquettes,1393,13.9,Fabrication d'autres textiles,139,13,Fabrication de textiles,C,Industrie manufacturière
13.94Z,"Fabrication de ficelles, cordes et filets",1394Z,13.94,"Fabrication de ficelles, cordes et filets",1394,13.9,Fabrication d'autres textiles,139,13,Fabrication de textiles,C,Industrie manufacturière
13.95Z,"Fabrication de non-tissés, sauf habillement",1395Z,13.95,"Fabrication de non-tissés, sauf habillement",1395,13.9,Fabrication d'autres textiles,139,13,Fabrication de textiles,C,Industrie manufacturière
13.96Z,Fabrication d'autres textiles techniques et industriels,1396Z,13.96,Fabrication d'autres textiles techniques et industriels,1396,13.9,Fabrication d'autres textiles,139,13,Fabrication de textiles,C,Industrie manufacturière
13.99Z,Fabrication d'autres textiles n.c.a.,1399Z,13.99,Fabrication d'autres textiles n.c.a.,1399,13.9,Fabrication d'autres textiles,139,13,Fabrication de textiles,C,Industrie manufacturière
14.11Z,Fabrication de vêtements en cuir,1411Z,14.11,Fabrication de vêtements en cuir,1411,14.1,"Fabrication de vêtements, autres qu'en fourrure",141,14,Industrie de l'habillement,C,Industrie manufacturière
14.12Z,Fabrication de vêtements de travail,1412Z,14.12,Fabrication de vêtements de travail,1412,14.1,"Fabrication de vêtements, autres qu'en fourrure",141,14,Industrie de l'habillement,C,Industrie manufacturière
14.13Z,Fabrication de vêtements de dessus,1413Z,14.13,Fabrication de vêtements de dessus,1413,14.1,"Fabrication de vêtements, autres qu'en fourrure",141,14,Industrie de l'habillement,C,Industrie manufacturière
14.14Z,Fabrication de vêtements de dessous,1414Z,14.14,Fabrication de vêtements de dessous,1414,14.1,"Fabrication de vêtements, autres qu'en fourrure",141,14,Industrie de l'habillement,C,Industrie manufacturière
14.19Z,Fabrication d'autres vêtements et accessoires,1419Z,14.19,Fabrication d'autres vêtements et accessoires,1419,14.1,"Fabrication de vêtements, autres qu'en fourrure",141,14,Industrie de l'habillement,C,Industrie manufacturière
14.20Z,Fabrication d'articles en fourrure,1420Z,14.20,Fabrication d'articles en fourrure,1420,14.2,Fabrication d'articles en fourrure,142,14,Industrie de l'habillement,C,Industrie manufacturière
14.31Z,Fabrication d'articles chaussants à mailles,1431Z,14.31,Fabrication d'articles chaussants à mailles,1431,14.3,Fabrication d'articles à mailles,143,14,Industrie de l'habillement,C,Industrie manufacturière
14.39Z,Fabrication d'autres articles à mailles,1439Z,14.39,Fabrication d'autres articles à mailles,1439,14.3,Fabrication d'articles à mailles,143,14,Industrie de l'habillement,C,Industrie manufacturière
15.11Z,Apprêt et tannage des cuirs ; préparation et teinture des fourrures,1511Z,15.11,Apprêt et tannage des cuirs ; préparation et teinture des fourrures,1511,15.1,"Apprêt et tannage des cuirs ; préparation et teinture des fourrures ; fabrication d'articles de voyage, de maroquinerie et de sellerie",151,15,Industrie du cuir et de la chaussure,C,Industrie manufacturière
15.12Z,"Fabrication d'articles de voyage, de maroquinerie et de sellerie",1512Z,15.12,"Fabrication d'articles de voyage, de maroquinerie et de sellerie",1512,15.1,"Apprêt et tannage des cuirs ; préparation et teinture des fourrures ; fabrication d'articles de voyage, de maroquinerie et de sellerie",151,15,Industrie du cuir et de la chaussure,C,Industrie manufacturière
15.20Z,Fabrication de chaussures,1520Z,15.20,Fabrication de chaussures,1520,15.2,Fabrication de chaussures,152,15,Industrie du cuir et de la chaussure,C,Industrie manufacturière
16.10A,"Sciage et rabotage du bois, hors imprégnation",1610A,16.10,Sciage et rabotage du bois,1610,16.1,Sciage et rabotage du bois,161,16,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie",C,Industrie manufacturière
16.10B,Imprégnation du bois,1610B,16.10,Sciage et rabotage du bois,1610,16.1,Sciage et rabotage du bois,161,16,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie",C,Industrie manufacturière
16.21Z,Fabrication de placage et de panneaux de bois,1621Z,16.21,Fabrication de placage et de panneaux de bois,1621,16.2,"Fabrication d'articles en bois, liège, vannerie et sparterie",162,16,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie",C,Industrie manufacturière
16.22Z,Fabrication de parquets assemblés,1622Z,16.22,Fabrication de parquets assemblés,1622,16.2,"Fabrication d'articles en bois, liège, vannerie et sparterie",162,16,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie",C,Industrie manufacturière
16.23Z,Fabrication de charpentes et d'autres menuiseries,1623Z,16.23,Fabrication de charpentes et d'autres menuiseries,1623,16.2,"Fabrication d'articles en bois, liège, vannerie et sparterie",162,16,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie",C,Industrie manufacturière
16.24Z,Fabrication d'emballages en bois,1624Z,16.24,Fabrication d'emballages en bois,1624,16.2,"Fabrication d'articles en bois, liège, vannerie et sparterie",162,16,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie",C,Industrie manufacturière
16.29Z,"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie",1629Z,16.29,"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie",1629,16.2,"Fabrication d'articles en bois, liège, vannerie et sparterie",162,16,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie",C,Industrie manufacturière
17.11Z,Fabrication de pâte à papier,1711Z,17.11,Fabrication de pâte à papier,1711,17.1,"Fabrication de pâte à papier, de papier et de carton",171,17,Industrie du papier et du carton,C,Industrie manufacturière
17.12Z,Fabrication de papier et de carton,1712Z,17.12,Fabrication de papier et de carton,1712,17.1,"Fabrication de pâte à papier, de papier et de carton",171,17,Industrie du papier et du carton,C,Industrie manufacturière
17.21A,Fabrication de carton ondulé,1721A,17.21,Fabrication de papier et carton ondulés et d'emballages en papier ou en carton,1721,17.2,Fabrication d'articles en papier ou en carton,172,17,Industrie du papier et du carton,C,Industrie manufacturière
17.21B,Fabrication de cartonnages,1721B,17.21,Fabrication de papier et carton ondulés et d'emballages en papier ou en carton,1721,17.2,Fabrication d'articles en papier ou en carton,172,17,Industrie du papier et du carton,C,Industrie manufacturière
17.21C,Fabrication d'emballages en papier,1721C,17.21,Fabrication de papier et carton ondulés et d'emballages en papier ou en carton,1721,17.2,Fabrication d'articles en papier ou en carton,172,17,Industrie du papier et du carton,C,Industrie manufacturière
17.22Z,Fabrication d'articles en papier à usage sanitaire ou domestique,1722Z,17.22,Fabrication d'articles en papier à usage sanitaire ou domestique,1722,17.2,Fabrication d'articles en papier ou en carton,172,17,Industrie du papier et du carton,C,Industrie manufacturière
17.23Z,Fabrication d'articles de papeterie,1723Z,17.23,Fabrication d'articles de papeterie,1723,17.2,Fabrication d'articles en papier ou en carton,172,17,Industrie du papier et du carton,C,Industrie manufacturière
