dispositif,nombre_pge,montant_total,reg,libelle_region,dep,libelle_departement,code_section,libelle_section,date_maj
Prêts garantis par l'Etat,123.00,5999584.00,84,Auvergne-Rhône-Alpes,01,Ain,A,"Agriculture, sylviculture et pêche",2021-05-14
Prêts garantis par l'Etat,687.00,282131610.00,84,Auvergne-Rhône-Alpes,01,Ain,C,Industrie manufacturière,2021-05-14
Prêts garantis par l'Etat,14.00,4525000.00,84,Auvergne-Rhône-Alpes,01,Ain,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-05-14
Prêts garantis par l'Etat,1030.00,105319519.00,84,Auvergne-Rhône-Alpes,01,Ain,F,Construction,2021-05-14
Prêts garantis par l'Etat,1284.00,290239281.00,84,Auvergne-Rhône-Alpes,01,Ain,G,Commerce,2021-05-14
Prêts garantis par l'Etat,129.00,12153024.00,84,Auvergne-Rhône-Alpes,01,Ain,H,Transports et entreposage,2021-05-14
Prêts garantis par l'Etat,779.00,59170984.00,84,Auvergne-Rhône-Alpes,01,Ain,I,Hébergement et restauration,2021-05-14
Prêts garantis par l'Etat,59.00,7906606.00,84,Auvergne-Rhône-Alpes,01,Ain,J,Information et communication,2021-05-14
Prêts garantis par l'Etat,72.00,35467705.00,84,Auvergne-Rhône-Alpes,01,Ain,K,Activités financières et d'assurance,2021-05-14
Prêts garantis par l'Etat,90.00,46516550.00,84,Auvergne-Rhône-Alpes,01,Ain,L,Activités immobilières,2021-05-14
Prêts garantis par l'Etat,409.00,110631419.00,84,Auvergne-Rhône-Alpes,01,Ain,M,"Activités spécialisées, scientifiques et techniques",2021-05-14
Prêts garantis par l'Etat,207.00,15684473.00,84,Auvergne-Rhône-Alpes,01,Ain,N,Activités de services administratifs et de soutien,2021-05-14
Prêts garantis par l'Etat,113.00,6010334.00,84,Auvergne-Rhône-Alpes,01,Ain,P,Enseignement,2021-05-14
Prêts garantis par l'Etat,311.00,20162718.00,84,Auvergne-Rhône-Alpes,01,Ain,Q,Santé humaine et action sociale,2021-05-14
Prêts garantis par l'Etat,100.00,8921445.00,84,Auvergne-Rhône-Alpes,01,Ain,R,"Arts, spectacles et activités récréatives",2021-05-14
Prêts garantis par l'Etat,360.00,8874776.00,84,Auvergne-Rhône-Alpes,01,Ain,S,Autres activités de services,2021-05-14
Prêts garantis par l'Etat,4.00,502000.00,84,Auvergne-Rhône-Alpes,01,Ain,Z,Non connu,2021-05-14
Prêts garantis par l'Etat,101.00,4119998.00,84,Auvergne-Rhône-Alpes,03,Allier,A,"Agriculture, sylviculture et pêche",2021-05-14
Prêts garantis par l'Etat,249.00,81147496.00,84,Auvergne-Rhône-Alpes,03,Allier,C,Industrie manufacturière,2021-05-14
Prêts garantis par l'Etat,3.00,1900000.00,84,Auvergne-Rhône-Alpes,03,Allier,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-05-14
Prêts garantis par l'Etat,365.00,33151440.00,84,Auvergne-Rhône-Alpes,03,Allier,F,Construction,2021-05-14
Prêts garantis par l'Etat,665.00,85129492.00,84,Auvergne-Rhône-Alpes,03,Allier,G,Commerce,2021-05-14
Prêts garantis par l'Etat,51.00,4307815.00,84,Auvergne-Rhône-Alpes,03,Allier,H,Transports et entreposage,2021-05-14
Prêts garantis par l'Etat,389.00,20131606.00,84,Auvergne-Rhône-Alpes,03,Allier,I,Hébergement et restauration,2021-05-14
Prêts garantis par l'Etat,23.00,9737085.00,84,Auvergne-Rhône-Alpes,03,Allier,J,Information et communication,2021-05-14
Prêts garantis par l'Etat,35.00,17450813.00,84,Auvergne-Rhône-Alpes,03,Allier,K,Activités financières et d'assurance,2021-05-14
Prêts garantis par l'Etat,47.00,1706085.00,84,Auvergne-Rhône-Alpes,03,Allier,L,Activités immobilières,2021-05-14
Prêts garantis par l'Etat,149.00,20520879.00,84,Auvergne-Rhône-Alpes,03,Allier,M,"Activités spécialisées, scientifiques et techniques",2021-05-14
Prêts garantis par l'Etat,58.00,4306235.00,84,Auvergne-Rhône-Alpes,03,Allier,N,Activités de services administratifs et de soutien,2021-05-14
Prêts garantis par l'Etat,53.00,3026000.00,84,Auvergne-Rhône-Alpes,03,Allier,P,Enseignement,2021-05-14
Prêts garantis par l'Etat,195.00,13960942.00,84,Auvergne-Rhône-Alpes,03,Allier,Q,Santé humaine et action sociale,2021-05-14
Prêts garantis par l'Etat,56.00,7136169.00,84,Auvergne-Rhône-Alpes,03,Allier,R,"Arts, spectacles et activités récréatives",2021-05-14
Prêts garantis par l'Etat,190.00,5601390.00,84,Auvergne-Rhône-Alpes,03,Allier,S,Autres activités de services,2021-05-14
Prêts garantis par l'Etat,3.00,52300.00,84,Auvergne-Rhône-Alpes,03,Allier,Z,Non connu,2021-05-14
Prêts garantis par l'Etat,256.00,10841299.00,84,Auvergne-Rhône-Alpes,07,Ardèche,A,"Agriculture, sylviculture et pêche",2021-05-14
Prêts garantis par l'Etat,3.00,445000.00,84,Auvergne-Rhône-Alpes,07,Ardèche,B,Industries extractives,2021-05-14
Prêts garantis par l'Etat,275.00,87406576.00,84,Auvergne-Rhône-Alpes,07,Ardèche,C,Industrie manufacturière,2021-05-14
Prêts garantis par l'Etat,4.00,173000.00,84,Auvergne-Rhône-Alpes,07,Ardèche,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-05-14
Prêts garantis par l'Etat,12.00,3299000.00,84,Auvergne-Rhône-Alpes,07,Ardèche,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-05-14
Prêts garantis par l'Etat,477.00,36632057.00,84,Auvergne-Rhône-Alpes,07,Ardèche,F,Construction,2021-05-14
Prêts garantis par l'Etat,803.00,107467659.00,84,Auvergne-Rhône-Alpes,07,Ardèche,G,Commerce,2021-05-14
Prêts garantis par l'Etat,58.00,6219700.00,84,Auvergne-Rhône-Alpes,07,Ardèche,H,Transports et entreposage,2021-05-14
Prêts garantis par l'Etat,722.00,42334462.00,84,Auvergne-Rhône-Alpes,07,Ardèche,I,Hébergement et restauration,2021-05-14
Prêts garantis par l'Etat,28.00,5833800.00,84,Auvergne-Rhône-Alpes,07,Ardèche,J,Information et communication,2021-05-14
