dispositif,volet,nombre_aides,montant_total,reg,libelle_region,code_section,libelle_section
Fonds de solidarité,VOLET2,19,38000.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET2,71,219620.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière
Fonds de solidarité,VOLET2,4,9500.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET2,118,327886.40,84,Auvergne-Rhône-Alpes,F,Construction
Fonds de solidarité,VOLET2,332,875794.82,84,Auvergne-Rhône-Alpes,G,Commerce
Fonds de solidarité,VOLET2,43,109000.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage
Fonds de solidarité,VOLET2,606,1840000.43,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration
Fonds de solidarité,VOLET2,21,51600.00,84,Auvergne-Rhône-Alpes,J,Information et communication
Fonds de solidarité,VOLET2,12,25500.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance
Fonds de solidarité,VOLET2,30,69770.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières
Fonds de solidarité,VOLET2,125,326000.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET2,63,145400.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET2,79,198688.98,84,Auvergne-Rhône-Alpes,P,Enseignement
Fonds de solidarité,VOLET2,16,35593.58,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET2,88,313861.32,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET2,161,362100.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services
Fonds de solidarité,VOLET2,8,17500.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET2,30,82391.77,27,Bourgogne-Franche-Comté,C,Industrie manufacturière
Fonds de solidarité,VOLET2,40,110000.00,27,Bourgogne-Franche-Comté,F,Construction
Fonds de solidarité,VOLET2,101,284325.00,27,Bourgogne-Franche-Comté,G,Commerce
Fonds de solidarité,VOLET2,11,28400.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage
Fonds de solidarité,VOLET2,194,502665.66,27,Bourgogne-Franche-Comté,I,Hébergement et restauration
Fonds de solidarité,VOLET2,3,9000.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance
Fonds de solidarité,VOLET2,3,10045.69,27,Bourgogne-Franche-Comté,L,Activités immobilières
Fonds de solidarité,VOLET2,29,71500.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET2,6,18000.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien
